"entity","type","trigger","state","one-shot","damages","random","replay","sync","path"
"MineScript","trap","collide","pressed/exploded/timeSincePressed","no","yes","yes","press visual (mine/pressedSprite) + explosion sound/particle/blastmark/shake/body damage/destroy","covered","MinePressed + MineExploded"
"SpikeStabberScript","trap","trigger","activated","yes","yes","no","stab anim/sound/damage","covered","SpikeStabbed"
"BearTrap","trap","trigger","activated/caughtLimb","no","yes","no","closeSprite/sound + release","covered","BearTrapClamped/Released"
"BarbedFence","trap","trigger","hitSprite","no","yes","no","hitSprite/fence sound","covered","BarbedFenceHit"
"CoilScript","trap","collide","cooldown","no","yes","no","zap sound/light/shake","covered","CoilShocked"
"CactusScript","trap","collide","health","no","yes","no","gore sound + self-damage health","covered","CactusHit + BuildingEntityDamaged silent (PV21)"
"JumpPadScript","trap","collide","cooldown","no","no","no","light blink/jumppad sound","covered","JumpPadLaunched"
"StalactiteDropper","trap","trigger/detect","dropped","yes","yes","no","fall/DamagingCrate","covered","StalactiteDropped"
"GeyserScript","trap","trigger","rumbleTime/liquidType","no","no","yes","rumble/liquid eruption","covered","GeyserActivated"
"SoundCannon","trap","detect","spent/charging","yes","yes","no","spent/cancel charge","covered","SoundCannonFired"
"TurretScript","trap","detect","health/cooldown","no","yes","no","tracers/gunshot + explosion/body/destroy","covered","TurretFired/TurretSelfDestructed"
"CrystalElectric","trap","collide","cooldown","no","yes","no","zap/shake","covered","CrystalElectricShocked"
"CrystalFragile","trap","collide","health","yes","no","no","destroy/drop","covered","CrystalFragileBroken"
"CaveTickSpawner","trap","trigger","started","yes","no","no","nest destroy/particles/sound","covered","CaveTicksSpawned"
"BananaPlantSlip","trap","trigger","none","no","yes","no","plantslip sound","covered","BananaPlantSlip"
"GrabberPlant","trap","detect","grabBody","no","yes","no","scream sound","covered","GrabberGrabbed layout key + EnemyEffectMsg terminal state"
"ShuttleStartOpen","lifepod","trigger","activated","yes","no","no","door anim/shuttleOpen sound","covered","ShuttleDoorOpened"
"LifepodController","lifepod","click","heatState","no","no","no","heat color/heater state","covered","LifepodHeatChanged"
"LifepodShower","lifepod","click","activated","yes","no","no","particles/cleanse","covered","LifepodShowerActivated"
"Heater","lifepod","field","cooker","no","no","no","raw-to-cooked item","covered","ItemCook (NetMsg 92) — host conversion event; temperature field excluded (local body effect, rides the 1 Hz character stream)"
"BioTerminalScript","unlock","click","none","yes","no","no","Backgroundify door","covered","BioTerminalUnlocked"
"ScrapEaterScript","unlock","click","scrapAmount","no","no","no","progress/Backgroundify door","covered","ScrapEaterProgress"
"MedStationScript","unlock","trigger","didHeal","yes","yes","no","laser anim/heal/Backgroundify","covered","MedStationHealed"
"BatteryRecharger","unlock","click","items/firstTime","no","no","no","slot/charge/mp3","covered","BatteryInserted"
"TraderScript","trade","field","reputation/inventory/hostility","no","yes","yes","trade UI/inventory","covered","trade domain #132 + TraderSwing hostile swing"
"Talker","trade","field","none","no","no","no","speech bubble","covered","SpeechMsg (NetMsg 74)"
"LampScript","trade","collide","none","yes","no","no","light break/reputation","covered","trade domain #132"
"CrystalUnstable","crystal","collide","timer","yes","yes","yes","flash/explosion/destroy","covered","CrystalUnstableExploded (26) + CrystalUnstableTicked (32) — the 5 s pre-explosion ticking (glow ramp + jitter + crystaltick sound) rides the transient Ticked event; the explosion (health0 + RemoteEntityDeath) is the durable consumption"
"CrystalMetamorphic","crystal","collide","health","yes","no","yes","destroy/items","covered","CrystalMetamorphicTriggered (27)"
"CrystalMimic","crystal","collide","activated","yes","no","no","observerlaugh + spawn enemies (EntitySpawned)","covered","CrystalMimicTriggered (30); enemies ride EntitySpawned + EnemyRuntimeSpawn; crystalenemy tint rides EntitySpawned/EnemySnapshot (PV24)"
"CrystalShy","crystal","collide","none","no","no","no","position swap","covered","CrystalShySwapped (28); scan order risk recorded"
