item,battery,liquid,consumable,durability,modeswitch,payload,gun,ammo,geiger,randomroll,randomaction,bodycomponent
flashlight,✓,,,,✓,,,,,,,
emergencylight,✓,,,,✓,,,,,,,
lightbulb,✓,,,,✓,,,,,,,
headlamp,✓,,,,,,,,,,,
geigercounter,✓,,,,,,,,✓,,,
watch,✓,,,,,,,,,,,
terrainscanner,✓,,,,,,,,,,,
handcrank,✓,,,,,,,,,,,
epda,✓,,,,,,,,,✓,,
rangefinder,✓,,,,,,,,,,,
mp3player,✓,,,,,,,,,,,
aed,✓,,,,,,,,,,,
manualdefibrillator,✓,,,,,,,,,,,
minilaserdrill,✓,,,,,,,,,,,
plasmacutter,✓,,,,,,,,,,,
heavydrill,✓,,,,,,,,,,,
autozoomgoggles,✓,,,,,,,,,,,
gravbag,✓,,,,,,,,,,,
jetpack,✓,,,,,✓,,,,,✓,
dynamite,,,,,,✓,,,,,,
liquidcentrifuge,,✓,,,,✓,,,,,,
autopump,✓,,,,,,,,,,,
waterbottle,,✓,✓,,,,,,,,,
minibarrel,,✓,✓,,,,,,,,,
milk,,✓,✓,,,,,,,,,
bowlofcereal,,✓,✓,,,,,,,,,
chocolatemilk,,✓,✓,,,,,,,,,
ketchup,,✓,✓,,,,,,,,,
waterjug,,✓,✓,,,,,,,,,
bleach,,✓,✓,,,,,,,,,
energydrink,,✓,✓,,,,,,,,,
coffee,,✓,✓,,,,,,,,,
soup,,✓,✓,,,,,,,,,
sodabottle,,✓,✓,,,,,,,,,
applejuice,,✓,✓,,,,,,,,,
lemonade,,✓,✓,,,,,,,,,
icetea,,✓,✓,,,,,,,,,
sodacan,,✓,✓,,,,,,,,,
alcohol,,✓,✓,,,,,,,,,
liquidpouch,,✓,✓,,,,,,,,,
bloodbag,,✓,✓,,,,,,,,,
bloodbaghuman,,✓,✓,,,,,,,,,
saline,,✓,✓,,,,,,,,,
ringersolution,,✓,✓,,,,,,,,,
craftingbottle,,✓,,,,,,,,,,
canteen,,✓,✓,,,,,,,,,
paincream,,✓,✓,,,,,,,,,
